basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
18171,218.6193542,87.60388576,2338.302595,48.72071487,975,0.293138647,61.2664838,2209.82689,0.588724815,1.698586461,1.830635363,0.298495477,0.86549641
18172,330.9042664,87.402773,2377.453967,48.78094516,1491,0.387604189,85.15483932,2546.97038,0.351241018,2.847047895,2.576395607,0.150701075,0.668515857
18173,261.1676636,86.84600031,813.9365124,47.49677173,2144,2.502596246,45.09030686,582.6354436,0.286569865,3.489550448,2.119825026,0.222608334,0.603843449
18174,328.3542175,87.29416919,548.3119076,47.73415335,3915,5.878039783,43.69758211,451.2852206,0.236339491,4.231201456,2.181157413,0.210265215,0.548374496
18175,318.9194031,87.59995669,1115.333914,47.89807432,15821,6.430581503,65.81430735,1659.822139,0.383195961,2.609630845,1.95632244,0.261372912,0.698263854
18176,239.7129669,88.02883338,1278.423825,47.83741042,70817,8.882326162,115.2142283,5389.52737,0.406011609,2.462983761,2.112784161,0.224094493,0.718750774
18177,182.1569977,88.03151993,700.01049,47.30930873,26605,4.762402919,153.7153008,3810.550999,0.161269998,6.200781387,2.618462752,0.145897768,0.452987157
18178,202.4150238,89.16444669,1428.223196,47.43668692,1890,0.642196156,84.31777139,2002.607373,0.281681012,3.550115049,1.917060963,0.272188394,0.598670538
18179,190.4263,88.62159478,2025.078368,47.85302504,972,0.476689004,72.53437406,1375.993228,0.261534244,3.823591069,2.030652138,0.242588598,0.576863925
18180,117.2461472,89.20604347,2277.316745,47.90023221,897,0.179770147,84.60602116,3364.793719,0.47006282,2.127375231,1.910938378,0.273935353,0.773369518
18181,348.3114319,89.20332874,1123.770333,47.18282913,3768,1.480707953,60.80100894,1742.738689,0.471422927,2.121237517,1.873037015,0.285133818,0.774487566
18182,191.392868,89.73622538,1386.111398,46.94213698,3438,1.738580253,48.02018073,1358.638338,0.589191245,1.697241785,1.945829612,0.264199404,0.865839196
18183,300.1022034,89.718644,1428.239284,47.11426662,3338,3.689078438,,619.6851203,,,,,
18184,229.1365509,90.12737222,2507.20913,47.43039522,1125,0.378354375,65.58790362,2024.650776,0.470654943,2.124698814,1.849462821,0.292449067,0.773856459
18185,200.6845703,89.77162035,2379.728174,47.55795949,1038,0.263180772,84.98087654,2677.572811,0.370765125,2.697125303,1.958422591,0.260812637,0.686844679
23987,62.04560471,134.7887361,90.6718869,48.32653916,182796,110.142499,66.47703474,1111.325141,0.251476763,3.97651055,2.143907154,0.217635382,0.565663336
23989,101.9996414,134.5839286,34.23146132,48.10907757,540,3.976871602,22.129502,91.27443801,0.186382823,5.365301279,1.955542163,0.261581534,0.486981029
23990,84.44613647,133.6227581,45.14335683,47.63488756,61026,9.612526247,176.6181424,4308.205171,0.138110199,7.240594859,2.857926661,0.122472699,0.419200677
23991,54.97574615,134.7649269,38.63983672,47.89048206,11645,9.247209883,42.58469567,849.4689524,0.468425376,2.134811756,2.255675932,0.196602048,0.772021343
24008,66.38532257,135.1313354,164.9784741,47.49469931,1668,0.391216357,87.69871435,2897.162309,0.376691979,2.654688857,2.128698397,0.220756339,0.69231268
24009,59.84394836,134.5349668,108.8423373,47.50911674,24961,5.970471761,72.52998314,2842.984255,0.540429816,1.850379032,1.759705603,0.323043804,0.82923715
